car_id,year,make,model_trim,status,year_scope_used,window,basis,n,thin,median,p25,p75,min,max
46,1993,"Mazda RX-7",compare,exact 1993,W3,sold+fee (online),36,no,40953,35832,47579,21525,84525
47,1991,"Acura NSX",compare,exact 1991,W1,mixed (2% house buyer-paid, rest sold+fee),28,no,81900,67988,97250,54075,167500
47,1991,"Acura NSX",compare,exact 1991,W2,mixed (2% house buyer-paid, rest sold+fee),7,yes,,,,,
47,1991,"Acura NSX",compare,exact 1991,W3,mixed (2% house buyer-paid, rest sold+fee),63,no,79200,68250,92400,54075,167500
48,1990,"Nissan 300ZX Twin Turbo",compare,exact 1990,W1,sold+fee (online),10,no,24194,20672,28350,13808,43313
48,1990,"Nissan 300ZX Twin Turbo",compare,exact 1990,W2,sold+fee (online),2,yes,,,,,
48,1990,"Nissan 300ZX Twin Turbo",compare,exact 1990,W3,sold+fee (online),20,no,26775,22641,32813,9975,44363
49,1987,"Buick Grand National",compare,exact 1987,W1,mixed (27% house buyer-paid, rest sold+fee),23,no,55650,43707,79500,18375,102900
49,1987,"Buick Grand National",compare,exact 1987,W2,mixed (27% house buyer-paid, rest sold+fee),4,yes,,,,,
49,1987,"Buick Grand National",compare,exact 1987,W3,mixed (27% house buyer-paid, rest sold+fee),33,no,54656,44625,78750,18375,102900
50,1990,"Chevrolet Corvette ZR-1",compare,adjacent years pooled (1988-1992),W1,n/a,0,yes,,,,,
50,1990,"Chevrolet Corvette ZR-1",compare,adjacent years pooled (1988-1992),W2,n/a,0,yes,,,,,
50,1990,"Chevrolet Corvette ZR-1",compare,adjacent years pooled (1988-1992),W3,n/a,0,yes,,,,,
51,1985,"Chevrolet Camaro IROC-Z",compare,adjacent years pooled (1983-1987),W1,mixed (41% house buyer-paid, rest sold+fee),8,no,16669,14203,21175,6405,40700
51,1985,"Chevrolet Camaro IROC-Z",compare,adjacent years pooled (1983-1987),W2,mixed (41% house buyer-paid, rest sold+fee),6,yes,,,,,
51,1985,"Chevrolet Camaro IROC-Z",compare,adjacent years pooled (1983-1987),W3,mixed (41% house buyer-paid, rest sold+fee),29,no,22575,15950,31900,6405,63525
52,1993,"Ford Mustang Cobra",compare,exact 1993,W1,mixed (2% house buyer-paid, rest sold+fee),36,no,26775,15947,36947,6090,84000
52,1993,"Ford Mustang Cobra",compare,exact 1993,W2,mixed (2% house buyer-paid, rest sold+fee),7,yes,,,,,
52,1993,"Ford Mustang Cobra",compare,exact 1993,W3,mixed (2% house buyer-paid, rest sold+fee),56,no,23757,14897,35372,4725,84000
53,1989,"Jeep Grand Wagoneer",compare,exact 1989,W1,sold+fee (online),20,no,20239,11080,37406,7245,79800
53,1989,"Jeep Grand Wagoneer",compare,exact 1989,W2,sold+fee (online),2,yes,,,,,
53,1989,"Jeep Grand Wagoneer",compare,exact 1989,W3,sold+fee (online),38,no,23415,14989,36685,7245,79800
54,1997,"Land Rover Defender 90",compare,exact 1997,W1,mixed (3% house buyer-paid, rest sold+fee),55,no,64575,43182,84263,18900,212800
54,1997,"Land Rover Defender 90",compare,exact 1997,W2,mixed (3% house buyer-paid, rest sold+fee),10,no,79538,42263,101850,27825,134400
54,1997,"Land Rover Defender 90",compare,exact 1997,W3,mixed (3% house buyer-paid, rest sold+fee),115,no,60900,38850,79275,13125,212800
55,1985,"Toyota Land Cruiser FJ60",compare,exact 1985,W1,sold+fee (online),12,no,29007,22247,36711,11025,50978
55,1985,"Toyota Land Cruiser FJ60",compare,exact 1985,W2,sold+fee (online),0,yes,,,,,
55,1985,"Toyota Land Cruiser FJ60",compare,exact 1985,W3,sold+fee (online),22,no,31500,23297,37288,11025,85575
56,1991,"Lamborghini Diablo",compare,adjacent years pooled (1989-1993),W1,mixed (36% house buyer-paid, rest sold+fee),4,yes,,,,,
56,1991,"Lamborghini Diablo",compare,adjacent years pooled (1989-1993),W2,mixed (36% house buyer-paid, rest sold+fee),1,yes,,,,,
56,1991,"Lamborghini Diablo",compare,adjacent years pooled (1989-1993),W3,mixed (36% house buyer-paid, rest sold+fee),11,no,342500,270050,385500,242700,802500
57,1993,"Dodge Viper RT/10",compare,exact 1993,W1,mixed (10% house buyer-paid, rest sold+fee),12,no,50663,46725,61425,34650,77000
57,1993,"Dodge Viper RT/10",compare,exact 1993,W2,mixed (10% house buyer-paid, rest sold+fee),2,yes,,,,,
57,1993,"Dodge Viper RT/10",compare,exact 1993,W3,mixed (10% house buyer-paid, rest sold+fee),20,no,48563,40819,57113,34650,78750
58,1997,"Porsche 911 Turbo",compare,exact 1997,W1,mixed (40% house buyer-paid, rest sold+fee),13,no,268800,252000,330000,220000,402500
58,1997,"Porsche 911 Turbo",compare,exact 1997,W2,mixed (40% house buyer-paid, rest sold+fee),3,yes,,,,,
58,1997,"Porsche 911 Turbo",compare,exact 1997,W3,mixed (40% house buyer-paid, rest sold+fee),25,no,268800,231660,327500,145600,402500
59,1999,"Porsche 911 Carrera",compare,exact 1999,W1,mixed (4% house buyer-paid, rest sold+fee),30,no,25581,21131,30451,16800,47250
59,1999,"Porsche 911 Carrera",compare,exact 1999,W2,mixed (4% house buyer-paid, rest sold+fee),0,yes,,,,,
59,1999,"Porsche 911 Carrera",compare,exact 1999,W3,mixed (4% house buyer-paid, rest sold+fee),95,no,27038,21788,32854,13200,53546
60,2004,"Porsche 911 GT3",compare,adjacent years pooled (2002-2004),W1,mixed (11% house buyer-paid, rest sold+fee),4,yes,,,,,
60,2004,"Porsche 911 GT3",compare,adjacent years pooled (2002-2004),W2,mixed (11% house buyer-paid, rest sold+fee),0,yes,,,,,
60,2004,"Porsche 911 GT3",compare,adjacent years pooled (2002-2004),W3,mixed (11% house buyer-paid, rest sold+fee),18,no,123376,108675,146738,58333,159500
61,2007,"Porsche 911 GT3",compare,adjacent years pooled (2005-2009),W1,mixed (12% house buyer-paid, rest sold+fee),6,yes,,,,,
61,2007,"Porsche 911 GT3",compare,adjacent years pooled (2005-2009),W2,mixed (12% house buyer-paid, rest sold+fee),0,yes,,,,,
61,2007,"Porsche 911 GT3",compare,adjacent years pooled (2005-2009),W3,mixed (12% house buyer-paid, rest sold+fee),17,no,139650,126000,155397,75600,177500
62,2004,"Porsche Carrera GT",compare,exact 2004,W1,sold+fee (online),17,no,32550,27570,40950,21525,64041
62,2004,"Porsche Carrera GT",compare,exact 2004,W2,sold+fee (online),0,yes,,,,,
62,2004,"Porsche Carrera GT",compare,exact 2004,W3,sold+fee (online),51,no,35701,27298,44098,17299,81900
63,2001,"BMW M3",compare,exact 2001,W1,sold+fee (online),22,no,25069,21026,30581,14438,66150
63,2001,"BMW M3",compare,exact 2001,W2,sold+fee (online),6,yes,,,,,
63,2001,"BMW M3",compare,exact 2001,W3,sold+fee (online),45,no,25200,21000,33600,13650,94500
64,2003,"BMW M5",compare,exact 2003,W1,mixed (2% house buyer-paid, rest sold+fee),25,no,43575,29243,50138,14385,134400
64,2003,"BMW M5",compare,exact 2003,W2,mixed (2% house buyer-paid, rest sold+fee),2,yes,,,,,
64,2003,"BMW M5",compare,exact 2003,W3,mixed (2% house buyer-paid, rest sold+fee),50,no,40250,26815,50193,14385,134400
65,2000,"BMW Z3 M Coupe",compare,adjacent years pooled (1998-2002),W1,mixed (11% house buyer-paid, rest sold+fee),10,no,27169,21657,33994,17050,39249
65,2000,"BMW Z3 M Coupe",compare,adjacent years pooled (1998-2002),W2,mixed (11% house buyer-paid, rest sold+fee),1,yes,,,,,
65,2000,"BMW Z3 M Coupe",compare,adjacent years pooled (1998-2002),W3,mixed (11% house buyer-paid, rest sold+fee),18,no,26900,23161,31500,17050,39249
66,2001,"Honda S2000",compare,exact 2001,W1,sold+fee (online),32,no,27300,24517,32354,18485,46200
66,2001,"Honda S2000",compare,exact 2001,W2,sold+fee (online),9,no,30713,24675,34650,19425,52500
66,2001,"Honda S2000",compare,exact 2001,W3,sold+fee (online),67,no,28875,24413,32550,13388,52500
67,2005,"Ford GT",compare,exact 2005,W1,mixed (18% house buyer-paid, rest sold+fee),47,no,493500,437500,555000,8925,655500
67,2005,"Ford GT",compare,exact 2005,W2,mixed (18% house buyer-paid, rest sold+fee),6,yes,,,,,
67,2005,"Ford GT",compare,exact 2005,W3,mixed (18% house buyer-paid, rest sold+fee),87,no,462500,410500,537500,8925,809500
68,2002,"Chevrolet Corvette Z06",compare,exact 2002,W1,mixed (10% house buyer-paid, rest sold+fee),19,no,27300,22838,29011,18900,33600
68,2002,"Chevrolet Corvette Z06",compare,exact 2002,W2,mixed (10% house buyer-paid, rest sold+fee),0,yes,,,,,
68,2002,"Chevrolet Corvette Z06",compare,exact 2002,W3,mixed (10% house buyer-paid, rest sold+fee),31,no,28613,25463,30232,17588,38588
69,2006,"Chevrolet Corvette Z06",compare,exact 2006,W1,mixed (11% house buyer-paid, rest sold+fee),19,no,47250,42525,52500,35700,77000
69,2006,"Chevrolet Corvette Z06",compare,exact 2006,W2,mixed (11% house buyer-paid, rest sold+fee),2,yes,,,,,
69,2006,"Chevrolet Corvette Z06",compare,exact 2006,W3,mixed (11% house buyer-paid, rest sold+fee),37,no,44000,40688,49350,27965,77000
70,2005,"Mercedes-Benz SLR",compare,adjacent years pooled (2003-2007),W1,mixed (42% house buyer-paid, rest sold+fee),5,yes,,,,,
